"_id","action","ip","principal","roles","status","timestamp","userid";
"34ec82a6-5f54-42ae-bc4c-560bc80ea809","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T19:07:42.255Z","openidm-admin";
"cc65cff6-192f-4cf0-8160-e6c42d84eff1","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T19:50:04.453Z","openidm-admin";
"0cd88718-9639-4c46-a45e-77898cf1a023","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T20:00:04.604Z","openidm-admin";
"8b4cb4a3-89e2-4344-9952-a6cd793de2fb","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T20:05:29.080Z","openidm-admin";
"052b0d7c-291f-445d-88f0-9daf2650b16b","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T20:08:24.480Z","openidm-admin";
"01047974-a093-44bb-89e5-24c803d1f536","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T20:13:57.675Z","openidm-admin";
"9f02cf1d-b08e-4882-8ae6-1717175fdfb7","authenticate","127.0.0.1","anonymous","[openidm-reg]","SUCCESS","2014-10-24T20:14:41.923Z","anonymous";
"d84ce769-bb2f-49b5-93d8-ed8f4a927e02","authenticate","127.0.0.1","","","FAILURE","2014-10-24T20:14:42.059Z","";
"66961a73-d731-471e-8581-4de4286b9897","authenticate","127.0.0.1","anonymous","[openidm-reg]","SUCCESS","2014-10-24T20:14:42.208Z","anonymous";
"278b27e8-cfe6-4fa7-8a76-fa0c59c3a624","authenticate","127.0.0.1","openidm-admin","[openidm-admin, openidm-authorized]","SUCCESS","2014-10-24T20:14:49.080Z","openidm-admin";
